{'x': 4.26, 'y': 25.42, 't': 1649401807.9093432}
{'x': 4.25, 'y': 25.61, 't': 1649401808.0078483}
{'x': 4.27, 'y': 25.67, 't': 1649401808.1100626}
{'x': 4.28, 'y': 25.73, 't': 1649401808.2074652}
{'x': 4.29, 'y': 25.81, 't': 1649401808.3016894}
{'x': 4.28, 'y': 25.93, 't': 1649401808.4084125}
{'x': 4.28, 'y': 26.04, 't': 1649401808.507361}
{'x': 4.31, 'y': 26.09, 't': 1649401808.6077724}
{'x': 4.3, 'y': 26.23, 't': 1649401808.706384}
{'x': 4.3, 'y': 26.37, 't': 1649401808.807203}
{'x': 4.28, 'y': 26.52, 't': 1649401808.909562}
{'x': 4.27, 'y': 26.64, 't': 1649401809.0073843}
{'x': 4.28, 'y': 26.75, 't': 1649401809.1076763}
{'x': 4.29, 'y': 26.86, 't': 1649401809.2073398}
{'x': 4.31, 'y': 26.96, 't': 1649401809.308645}
{'x': 4.29, 'y': 27.07, 't': 1649401809.407395}
{'x': 4.3, 'y': 27.18, 't': 1649401809.5073423}
{'x': 4.31, 'y': 27.3, 't': 1649401809.610056}
{'x': 4.31, 'y': 27.43, 't': 1649401809.7054393}
{'x': 4.32, 'y': 27.55, 't': 1649401809.805433}
{'x': 4.33, 'y': 27.67, 't': 1649401809.9062812}
{'x': 4.32, 'y': 27.78, 't': 1649401810.0054133}
{'x': 4.31, 'y': 27.91, 't': 1649401810.107224}
{'x': 4.31, 'y': 28.03, 't': 1649401810.2061985}
{'x': 4.31, 'y': 28.15, 't': 1649401810.3070173}
{'x': 4.31, 'y': 28.28, 't': 1649401810.40793}
{'x': 4.28, 'y': 28.39, 't': 1649401810.5083988}
{'x': 4.28, 'y': 28.5, 't': 1649401810.6085203}
{'x': 4.28, 'y': 28.62, 't': 1649401810.7066667}
{'x': 4.29, 'y': 28.73, 't': 1649401810.8074517}
{'x': 4.29, 'y': 28.81, 't': 1649401810.9071002}
{'x': 4.29, 'y': 28.92, 't': 1649401811.007378}
{'x': 4.29, 'y': 28.98, 't': 1649401811.107377}
{'x': 4.31, 'y': 29.05, 't': 1649401811.2004287}
{'x': 4.29, 'y': 29.1, 't': 1649401811.3060286}
{'x': 4.29, 'y': 29.16, 't': 1649401811.4054377}
{'x': 4.29, 'y': 29.23, 't': 1649401811.507485}
{'x': 4.29, 'y': 29.29, 't': 1649401811.607877}
{'x': 4.29, 'y': 29.36, 't': 1649401811.707267}
{'x': 4.31, 'y': 29.41, 't': 1649401811.8073215}
{'x': 4.3, 'y': 29.48, 't': 1649401811.9073179}
{'x': 4.3, 'y': 29.54, 't': 1649401812.0072224}
{'x': 4.31, 'y': 29.61, 't': 1649401812.1028814}
{'x': 4.3, 'y': 29.68, 't': 1649401812.2064593}
{'x': 4.27, 'y': 29.73, 't': 1649401812.3071442}
{'x': 4.26, 'y': 29.78, 't': 1649401812.4072626}
{'x': 4.25, 'y': 29.86, 't': 1649401812.5073848}
{'x': 4.25, 'y': 29.95, 't': 1649401812.6076062}
{'x': 4.26, 'y': 30.04, 't': 1649401812.70832}
{'x': 4.26, 'y': 30.26, 't': 1649401812.8072972}
{'x': 4.28, 'y': 30.36, 't': 1649401812.9073372}
{'x': 4.29, 'y': 30.51, 't': 1649401813.0073762}
{'x': 4.31, 'y': 30.61, 't': 1649401813.1095}
{'x': 4.33, 'y': 30.68, 't': 1649401813.3071542}
{'x': 4.33, 'y': 30.75, 't': 1649401813.4073358}
{'x': 4.33, 'y': 30.83, 't': 1649401813.508523}
{'x': 4.35, 'y': 30.91, 't': 1649401813.6074004}
{'x': 4.36, 'y': 30.99, 't': 1649401813.7077222}
{'x': 4.37, 'y': 31.08, 't': 1649401813.807345}
{'x': 4.36, 'y': 31.15, 't': 1649401813.9073937}
{'x': 4.35, 'y': 31.22, 't': 1649401814.0073464}
{'x': 4.35, 'y': 31.27, 't': 1649401814.1073432}
{'x': 4.38, 'y': 31.35, 't': 1649401814.2063177}
{'x': 4.4, 'y': 31.46, 't': 1649401814.3082294}
{'x': 4.45, 'y': 31.53, 't': 1649401814.4075162}
{'x': 4.49, 'y': 31.61, 't': 1649401814.5083551}
{'x': 4.53, 'y': 31.7, 't': 1649401814.6096458}
{'x': 4.51, 'y': 31.81, 't': 1649401814.708362}
{'x': 4.47, 'y': 32.04, 't': 1649401814.800368}
