{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543273.9151757, 'imu': 85.54766845703125}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543274.085244, 'imu': 85.54776000976562}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543274.255198, 'imu': 85.54776000976562}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543274.4251766, 'imu': 85.5478515625}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543274.595189, 'imu': 85.54776763916016}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543274.7652013, 'imu': 85.54772186279297}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543274.9352944, 'imu': 85.5478286743164}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543275.1052363, 'imu': 85.54786682128906}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543275.2751093, 'imu': 85.54789733886719}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543275.445129, 'imu': 85.5477523803711}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543275.615122, 'imu': 85.54771423339844}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543275.7852242, 'imu': 85.54764556884766}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543275.9551651, 'imu': 85.54764556884766}
{'lf': 753.0566600397614, 'rf': 742.4522489217499, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543276.125182, 'imu': 85.54769897460938}
{'lf': 752.1123260437375, 'rf': 539.3407270486753, 'rb': 680.5882352941177, 'lb': 1016.6166916541729, 'time': 1645543276.2952049, 'imu': 85.54764556884766}
{'lf': 753.0566600397614, 'rf': 508.31792975970427, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543276.465327, 'imu': 85.54774475097656}
{'lf': 753.0566600397614, 'rf': 508.31792975970427, 'rb': 680.5882352941177, 'lb': 1016.6166916541729, 'time': 1645543276.6352978, 'imu': 85.54778289794922}
{'lf': 752.1123260437375, 'rf': 436.90696241528036, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543276.805213, 'imu': 85.54776000976562}
