{'x': 2.89, 'y': 4.69, 'z': 0.78}
{'x': 2.86, 'y': 4.71, 'z': 0.96}
{'x': 2.85, 'y': 4.71, 'z': 1.03}
{'x': 2.84, 'y': 4.72, 'z': 0.96}
{'x': 2.83, 'y': 4.71, 'z': 0.39}
{'x': 2.82, 'y': 4.72, 'z': 0.62}
{'x': 0, 'y': 0, 'z': 0}
{'x': 2.85, 'y': 4.59, 'z': 0.86}
{'x': 2.82, 'y': 4.65, 'z': 0.84}
{'x': 2.79, 'y': 4.63, 'z': 0.88}
{'x': 2.78, 'y': 4.66, 'z': 0.89}
{'x': 2.77, 'y': 4.74, 'z': 0.98}
{'x': 2.78, 'y': 4.71, 'z': 0.81}
{'x': 2.71, 'y': 4.65, 'z': 0.85}
{'x': 2.73, 'y': 4.72, 'z': 0.88}
{'x': 2.68, 'y': 4.63, 'z': 0.95}
{'x': 2.64, 'y': 4.67, 'z': 1.01}
{'x': 2.59, 'y': 4.63, 'z': 1.1}
{'x': 2.59, 'y': 4.64, 'z': 1.01}
{'x': 2.57, 'y': 4.63, 'z': 0.93}
{'x': 2.56, 'y': 4.62, 'z': 0.76}
{'x': 2.54, 'y': 4.6, 'z': 0.66}
{'x': 2.5, 'y': 4.62, 'z': 0.82}
{'x': 2.46, 'y': 4.55, 'z': 0.54}
{'x': 2.46, 'y': 4.5, 'z': 0.35}
{'x': 2.42, 'y': 4.49, 'z': 0.09}
{'x': 2.39, 'y': 4.43, 'z': 0.14}
{'x': 2.41, 'y': 4.43, 'z': -0.24}
{'x': 2.42, 'y': 4.41, 'z': -0.44}
{'x': 2.4, 'y': 4.38, 'z': -0.57}
{'x': 2.37, 'y': 4.35, 'z': 0.21}
{'x': 2.35, 'y': 4.39, 'z': 0.55}
{'x': 2.33, 'y': 4.42, 'z': 0.81}
{'x': 2.3, 'y': 4.47, 'z': 0.99}
{'x': 2.3, 'y': 4.54, 'z': 1.01}
{'x': 2.29, 'y': 4.64, 'z': 1.11}
{'x': 2.26, 'y': 4.53, 'z': 1.09}
{'x': 2.23, 'y': 4.51, 'z': 1.14}
{'x': 2.24, 'y': 4.49, 'z': 0.94}
{'x': 2.21, 'y': 4.46, 'z': 0.85}
{'x': 2.19, 'y': 4.48, 'z': 0.83}
{'x': 2.18, 'y': 4.48, 'z': 0.79}
{'x': 2.15, 'y': 4.48, 'z': 0.86}
{'x': 2.15, 'y': 4.57, 'z': 0.98}
{'x': 2.14, 'y': 4.48, 'z': 0.93}
{'x': 2.14, 'y': 4.57, 'z': 0.92}
{'x': 2.14, 'y': 4.56, 'z': 0.79}
{'x': 2.12, 'y': 4.49, 'z': 0.92}
{'x': 2.08, 'y': 4.47, 'z': 0.84}
{'x': 2.04, 'y': 4.41, 'z': 0.82}
{'x': 2.01, 'y': 4.41, 'z': 0.93}
{'x': 1.97, 'y': 4.38, 'z': 1.01}
{'x': 1.99, 'y': 4.55, 'z': 1.06}
{'x': 1.96, 'y': 4.43, 'z': 0.85}
{'x': 1.93, 'y': 4.47, 'z': 0.99}
{'x': 1.94, 'y': 4.46, 'z': 0.94}
{'x': 1.92, 'y': 4.41, 'z': 1.08}
{'x': 1.91, 'y': 4.4, 'z': 0.97}
{'x': 1.9, 'y': 4.35, 'z': 0.83}
{'x': 1.91, 'y': 4.31, 'z': 0.62}
{'x': 1.9, 'y': 4.3, 'z': 0.55}
{'x': 1.89, 'y': 4.31, 'z': 0.62}
{'x': 1.88, 'y': 4.3, 'z': 0.72}
{'x': 1.88, 'y': 4.29, 'z': 0.78}
{'x': 1.88, 'y': 4.3, 'z': 0.73}
{'x': 1.86, 'y': 4.32, 'z': 0.69}
{'x': 1.88, 'y': 4.34, 'z': 0.34}
{'x': 1.87, 'y': 4.36, 'z': 0.33}
{'x': 1.86, 'y': 4.38, 'z': 0.56}
{'x': 1.84, 'y': 4.41, 'z': 0.71}
{'x': 1.82, 'y': 4.33, 'z': 0.77}
{'x': 1.83, 'y': 4.31, 'z': 0.87}
{'x': 1.81, 'y': 4.32, 'z': 0.92}
{'x': 1.78, 'y': 4.34, 'z': 0.98}
{'x': 1.81, 'y': 4.35, 'z': 0.71}
{'x': 1.82, 'y': 4.36, 'z': 0.7}
{'x': 1.79, 'y': 4.39, 'z': 0.28}
{'x': 1.72, 'y': 4.43, 'z': 0.5}
{'x': 1.69, 'y': 4.43, 'z': 0.25}
{'x': 1.69, 'y': 4.49, 'z': 0.58}
{'x': 1.64, 'y': 4.44, 'z': 0.82}
{'x': 1.67, 'y': 4.46, 'z': 0.86}
{'x': 1.68, 'y': 4.45, 'z': 0.97}
{'x': 1.64, 'y': 4.4, 'z': 0.97}
{'x': 1.63, 'y': 4.4, 'z': 1.0}
{'x': 1.61, 'y': 4.32, 'z': 1.11}
{'x': 1.61, 'y': 4.33, 'z': 1.1}
{'x': 1.59, 'y': 4.3, 'z': 1.13}
{'x': 1.58, 'y': 4.29, 'z': 1.09}
{'x': 1.56, 'y': 4.25, 'z': 1.19}
{'x': 1.61, 'y': 4.25, 'z': 1.17}
{'x': 1.64, 'y': 4.22, 'z': 1.1}
{'x': 1.61, 'y': 4.21, 'z': 1.15}
{'x': 1.64, 'y': 4.21, 'z': 1.21}
{'x': 1.69, 'y': 4.2, 'z': 1.18}
{'x': 1.73, 'y': 4.18, 'z': 1.13}
{'x': 1.76, 'y': 4.19, 'z': 1.12}
{'x': 1.77, 'y': 4.17, 'z': 1.1}
{'x': 1.8, 'y': 4.14, 'z': 1.09}
{'x': 1.79, 'y': 4.11, 'z': 1.06}
{'x': 1.82, 'y': 4.09, 'z': 1.02}
{'x': 1.83, 'y': 4.06, 'z': 1.14}
{'x': 1.82, 'y': 4.03, 'z': 1.15}
{'x': 1.83, 'y': 4.01, 'z': 1.16}
{'x': 1.87, 'y': 4.0, 'z': 1.13}
{'x': 1.9, 'y': 3.95, 'z': 1.13}
{'x': 1.97, 'y': 3.88, 'z': 1.03}
{'x': 2.05, 'y': 3.82, 'z': 0.98}
{'x': 2.07, 'y': 3.79, 'z': 1.14}
{'x': 0, 'y': 0, 'z': 0}
{'x': 2.09, 'y': 3.83, 'z': 1.04}
{'x': 2.08, 'y': 3.77, 'z': 1.03}
{'x': 2.18, 'y': 3.72, 'z': 0.69}
{'x': 2.25, 'y': 3.67, 'z': 0.78}
{'x': 2.3, 'y': 3.55, 'z': 0.35}
{'x': 2.35, 'y': 3.49, 'z': 0.05}
{'x': 2.35, 'y': 3.48, 'z': 0.14}
{'x': 2.38, 'y': 3.56, 'z': 0.31}
{'x': 2.42, 'y': 3.53, 'z': 0.34}
{'x': 2.47, 'y': 3.63, 'z': 0.77}
{'x': 2.47, 'y': 3.7, 'z': 1.05}
{'x': 2.49, 'y': 3.68, 'z': 1.24}
{'x': 2.62, 'y': 3.51, 'z': 0.62}
{'x': 2.54, 'y': 3.52, 'z': 0.9}
{'x': 2.46, 'y': 3.52, 'z': 1.13}
{'x': 2.47, 'y': 3.49, 'z': 1.14}
{'x': 2.45, 'y': 3.45, 'z': 1.44}
{'x': 2.52, 'y': 3.37, 'z': 0.96}
{'x': 2.53, 'y': 3.35, 'z': 1.07}
{'x': 2.56, 'y': 3.3, 'z': 0.71}
{'x': 2.58, 'y': 3.26, 'z': 0.6}
{'x': 2.52, 'y': 3.22, 'z': 0.91}
{'x': 2.62, 'y': 3.24, 'z': 0.19}
{'x': 2.65, 'y': 3.12, 'z': 0.51}
{'x': 2.75, 'y': 3.17, 'z': 0.42}
{'x': 2.74, 'y': 3.09, 'z': 0.87}
{'x': 2.78, 'y': 3.1, 'z': 0.89}
{'x': 2.86, 'y': 3.11, 'z': 0.61}
{'x': 2.95, 'y': 3.09, 'z': 0.25}
{'x': 3.02, 'y': 3.09, 'z': 0.06}
{'x': 3.07, 'y': 3.05, 'z': -0.03}
{'x': 3.0, 'y': 3.03, 'z': 0.06}
{'x': 2.9, 'y': 3.0, 'z': 0.44}
{'x': 2.91, 'y': 3.06, 'z': 0.47}
{'x': 2.91, 'y': 3.01, 'z': 0.56}
{'x': 2.92, 'y': 2.99, 'z': 0.54}
{'x': 2.88, 'y': 3.03, 'z': 0.62}
{'x': 2.88, 'y': 3.03, 'z': 0.61}
{'x': 2.97, 'y': 3.05, 'z': 0.28}
{'x': 2.98, 'y': 3.08, 'z': 0.59}
{'x': 3.01, 'y': 3.1, 'z': 0.56}
{'x': 3.04, 'y': 3.09, 'z': 0.59}
{'x': 3.05, 'y': 3.07, 'z': 0.7}
{'x': 3.06, 'y': 3.07, 'z': 0.69}
{'x': 3.09, 'y': 3.02, 'z': 0.78}
{'x': 3.11, 'y': 3.0, 'z': 0.65}
{'x': 3.13, 'y': 2.96, 'z': 0.68}
{'x': 3.1, 'y': 2.92, 'z': 0.9}
{'x': 3.12, 'y': 2.91, 'z': 0.74}
{'x': 3.19, 'y': 2.92, 'z': 0.28}
{'x': 3.12, 'y': 2.94, 'z': 0.72}
{'x': 3.1, 'y': 2.89, 'z': 0.96}
{'x': 3.13, 'y': 2.88, 'z': 0.81}
{'x': 3.17, 'y': 2.9, 'z': 0.44}
{'x': 3.21, 'y': 2.88, 'z': 0.61}
{'x': 3.22, 'y': 2.9, 'z': 0.72}
{'x': 3.2, 'y': 2.94, 'z': 1.05}
{'x': 3.27, 'y': 2.93, 'z': 0.97}
{'x': 3.32, 'y': 2.91, 'z': 0.78}
{'x': 3.38, 'y': 2.91, 'z': 0.65}
{'x': 3.42, 'y': 2.93, 'z': 0.5}
{'x': 3.43, 'y': 2.92, 'z': 0.44}
{'x': 3.36, 'y': 2.93, 'z': 0.88}
{'x': 3.35, 'y': 2.88, 'z': 0.97}
{'x': 3.37, 'y': 2.83, 'z': 0.8}
{'x': 3.4, 'y': 2.82, 'z': 0.6}
{'x': 3.42, 'y': 2.8, 'z': 0.43}
{'x': 3.44, 'y': 2.81, 'z': 0.11}
{'x': 3.44, 'y': 2.76, 'z': 0.23}
{'x': 3.4, 'y': 2.73, 'z': 0.3}
{'x': 3.41, 'y': 2.75, 'z': -0.02}
{'x': 3.4, 'y': 2.76, 'z': 0.51}
{'x': 3.45, 'y': 2.73, 'z': 0.41}
{'x': 3.49, 'y': 2.73, 'z': 0.14}
{'x': 3.54, 'y': 2.76, 'z': 0.08}
{'x': 3.56, 'y': 2.78, 'z': 0.03}
{'x': 3.82, 'y': 2.8, 'z': -0.11}
{'x': 3.67, 'y': 3.15, 'z': 0.73}
{'x': 3.66, 'y': 3.11, 'z': 0.61}
{'x': 3.68, 'y': 3.08, 'z': 0.3}
{'x': 3.64, 'y': 3.08, 'z': 0.28}
{'x': 3.51, 'y': 3.15, 'z': 0.59}
{'x': 3.53, 'y': 3.09, 'z': 0.57}
{'x': 0, 'y': 0, 'z': 0}
